Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Publisher,Volume,Issue,Pages,Issue date,Publication year,Language,ISSN,E-ISSN,DOI,Article number,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Database,Copyright,Data Provider
"Experimental and theoretical study on the molecular structure, covalent and non-covalent interactions of 2,4-dinitrodiphenylamine: X-ray diffraction and QTAIM approach","20171303508019","Hernández-Paredes, Javier (1); Carrillo-Torres, Roberto C. (1); Hernández-Negrete, Ofelia (1); Sotelo-Mundo, Rogerio R. (2); Glossman-Mitnik, Daniel (3); Esparza-Ponce, Hilda E. (3); Alvarez-Ramos, Mario E. (1) ","(1) Posgrado en Nanotecnología, Departamento de Física, Universidad de Sonora (UNISON), Edificio 3R (Planta Alta), Blvd. Luis Encinas J y Rosales S/N Col. Centro, Hermosillo; Sonora; 83000, Mexico (2) Laboratorio de Estructura Biomolecular, Centro de Investigación en Alimentación y Desarrollo (CIAD), A. C., Carretera a Ejido La Victoria Km 0.6, Hermosillo; Sonora; 83304, Mexico (3) Centro de Investigación en Materiales Avanzados S. C. (CIMAV), Miguel de Cervantes 120, Chihuahua; Chihuahua; 31116, Mexico ","Hernández-Paredes, Javier(jahernandezparedes@gmail.com) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","53-63","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.087","","JMOSB4","Journal article (JA)","Single-crystal X-ray diffraction (SCXRD) experiments and theoretical calculations based on the Quantum Theory of Atoms in Molecules (QTAIM) approach have been used to analyse the characteristics of the covalent and the non-covalent interactions of 2,4-dinitrodiphenylamine (2,4-dna), also known as Serisol-Yellow 2G. DSC-TGA experiments were also carried out to obtain data on the thermal stability of the entitled compound. SCXRD and QTAIM results showed that 2,4-dna molecules form centrosymmetric dimers linked by unusual OO intermolecular interactions with short contact distances (2.73 Å) that are accompanied by C[sbnd]HO and N[sbnd]HO intermolecular interactions. Due to the number of -CH groups available in 2,4-dna, the molecular self-assembly continues through C[sbnd]HO intermolecular interactions, which also contribute with the stabilization of the supramolecular network. The analysis of the ESP map revealed that the most positive region of the -CH groups bound to the most negative -NO2group forming a R22(7) synthon. DSC-TGA analysis revealed that 2,4-dna is stable up to 150 °C. © 2017 Elsevier B.V.","64","X ray diffraction","Dimers - Molecules - Quantum theory - Self assembly - Single crystals - Thermodynamic stability","DFT-B3LYP - DFT-D3 - Intermolecular interactions - Non-covalent interaction - QTAIM - Quantum Theory of Atoms in Molecules - Single crystal x-ray diffraction - Theoretical calculations","641.1 ThermodynamicsThermodynamics - 815.1.1 Organic PolymersOrganic Polymers - 931.3 Atomic and Molecular PhysicsAtomic and Molecular Physics - 931.4 Quantum Theory; Quantum MechanicsQuantum Theory; Quantum Mechanics - 933.1 Crystalline SolidsCrystalline Solids - 951 Materials ScienceMaterials Science","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Modification of benzoxazole derivative by bromine-spectroscopic, antibacterial and reactivity study using experimental and theoretical procedures","20171503559682","Aswathy, V.V. (1); Alper-Hayta, Sabiha (2); Yalcin, Gözde (3); Mary, Y. Sheena (1); Panicker, C. Yohannan (1); Jojo, P.J. (1); Kaynak-Onurdag, Fatma (4); Armakovi, Stevan (5); Armakovi, Sanja J. (6); Yildiz, Ilkay (7); Van Alsenoy, C. (8) ","(1) Department of Physics, Fatima Mata National College, Kollam; Kerala, India (2) Republic of Turkey Ministry of Health, Turkish Medicines and Medical Devices Agency, 2176 Str. Söütözü, Çankaya; Ankara; 06520, Turkey (3) Ankara University, Biotechnology Institute, Tandogan; Ankara; 06100, Turkey (4) Trakya University, Faculty of Pharmacy, Department of Pharmaceutical Microbiology, Balkan Yerleskesi; Edirne; 22030, Turkey (5) University of Novi Sad, Faculty of Sciences, Department of Physics, Trg D. Obradovia 4, Novi Sad; 21000, Serbia (6) University of Novi Sad, Faculty of Sciences, Department of Chemistry, Biochemistry and Environmental Protection, Trg D. Obradovia 3, Novi Sad; 21000, Serbia (7) Ankara University, Faculty of Pharmacy, Department of Pharmaceutical Chemistry, Tandogan; Ankara; 06100, Turkey (8) Department of Chemistry, University of Antwerp, Groenenborgerlaan 171, Antwerp; B-2020, Belgium ","Mary, Y. Sheena(sypanicker@rediffmail.com) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","495-511","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.04.010","","JMOSB4","Journal article (JA)","N-[2-(2-bromophenyl)-1,3-benzoxazol-5-yl]-2-phenylacetamide (NBBPA) was synthesized in this study as an original compound in order to evaluate its antibacterial activity against representative Gram-negative and Gram-positive bacteria, with their drug-resistant clinical isolate. Microbiological results showed that this compound had moderate antibacterial activity. Study also encompassed detailed FT-IR, FT-Raman and NMR experimental and theoretical spectroscopic characterization and assignation of the ring breathing modes of the mono-, ortho- and tri-substituted phenyl rings is in agreement with the literature data. DFT calculations were also used to identify specific reactivity properties of NBBPA molecule based on the molecular orbital, charge distribution and electron density analysis, which indicated the reactive importance of carbonyl and NH2groups, together with bromine atom. DFT calculations were also used for investigation of sensitivity of the NBBPA molecules towards the autoxidation mechanism, while molecular dynamics (MD) simulations were used to investigate the influence of water. The molecular docking results suggest that the compound might exhibit inhibitory activity against GyrB complex. © 2017 Elsevier B.V.","91","Bromine compounds","Bacteria - Bromine - Density functional theory - Molecular dynamics - Molecular orbitals - Molecules","ALIE - Anti-bacterial activity - Benzoxazole - Benzoxazole derivatives - Electron density analysis - Molecular dynamics simulations - Moleculardocking - Spectroscopic characterization","801.4 Physical ChemistryPhysical Chemistry - 804.2 Inorganic CompoundsInorganic Compounds - 931.3 Atomic and Molecular PhysicsAtomic and Molecular Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Dichloroacetonitrile hydrogenation by osmium cluster: Crystal structure of (μ-Cl)Os3(CO)10(μ-N=CHCHCl2)","20171403515275","Savkov, Boris Yu. (1); Virovets, Alexander V. (1, 2); Maksakov, Vladimir A. (1, 2) ","(1) Nikolaev Institute of Inorganic Chemistry SB RAS, Ak. Lavrentiev str. 3, Novosibirsk; 630090, Russia (2) Novosibirsk State University, Pirogova str. 2, Novosibirsk; 630090, Russia ","Savkov, Boris Yu.(britvozavr@gmail.com) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","115-118","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.093","","JMOSB4","Journal article (JA)","Dichloroacetonitrile undergoes hydrogenation by triosmium dihydride cluster under mild conditions. The reaction of cluster complex (μ-H)2Os3(CO)10(1) with CHCl2CN in the presence of morpholine as a base results in two novel compounds (μ-Cl)Os3(CO)10(μ-N=CHCHCl2) (2) and (μ-H)Os3(CO)10(μ,η2-HN=CHCHCl2) (3). Both compounds were characterized using FTIR,13C,1H NMR spectra, and CHN analysis, molecular structure of 2 was determined by X-Ray diffraction study. © 2017","34","Chlorine compounds","Complexation - Crystal structure - Fourier transform infrared spectroscopy - Hydrogenation - Nuclear magnetic resonance spectroscopy - Osmium - Transition metals - X ray diffraction","1H-NMR spectra - CHN analysis - Cluster complexes - Dichloroacetonitrile - Morpholines - Osmium cluster - Transition-metal clusters - X-ray diffraction studies","531 Metallurgy and MetallographyMetallurgy and Metallography - 547.1 Precious MetalsPrecious Metals - 801 ChemistryChemistry - 802.2 Chemical ReactionsChemical Reactions - 933.1.1 Crystal LatticeCrystal Lattice","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"1D cerium(III) coordination polymer with pivalate bridges: Synthesis, structure and magnetic properties","20171403523052","Akhtar, Muhammad Nadeem (1); Mateen, Muhammad (1); Sadakiyo, Masaaki (2); Warsi, Muhammad Farooq (1); AlDamen, Murad A. (3); Song, You (4) ","(1) Department of Chemistry, The Islamia University of Bahawalpur, Bahawalpur, Pakistan (2) International Institute for Carbon-Neutral Energy Research (I2CNER), Kyushu University, 744 Moto-oka, Nishi-ku, Fukuoka; 819-0395, Japan (3) Department of Chemistry, Faculty of Science, The University of Jordan, Amman; 11942, Jordan (4) State Key Laboratory of Coordination Chemistry, Nanjing University, Nanjing; 210093, China ","AlDamen, Murad A.(maldamen@ju.edu.jo) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","170-175","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.068","","JMOSB4","Journal article (JA)","In the present work, synthesis, characterization, and properties of a new 1D-polymeric chain of [Ce(piv)3(MeOH)2]n(1D-Ce) are described. This polymeric structure was synthesized via reaction of Ce(NO3)3·6H2O with pivalic acid in presence of triethylamine. Crystal structure consists of cerium coordinated to eight oxygen atoms from five pivalate and two methanol moieties. Magnetic studies on the complex revealed a strong antiferromagnetic interaction between CeIIIions in the 1D chain. © 2017 Elsevier B.V.","54","Crystal structure","Cerium - Chains - Coordination reactions - Crystal atomic structure - Polymers","Antiferro-magnetic interactions - Antiprisms - Coordination Polymers - Magnetic studies - Pivalic acid - Polymeric chain - Polymeric structures - Triethylamines","547.2 Rare Earth MetalsRare Earth Metals - 602.1 Mechanical DrivesMechanical Drives - 802.2 Chemical ReactionsChemical Reactions - 815.1 Polymeric MaterialsPolymeric Materials - 933.1.1 Crystal LatticeCrystal Lattice","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Structural characterization and physicochemical features of new hybrid compound containing chlorate anions of cadmate (II)","20171503552693","Lassoued, Mohamed Saber (1, 2, 3); Abdelbaky, Mohammed S.M. (1); Lassoued, Abdelmajid (3); Gadri, Abdellatif (1); Ammar, Salah (1); Ben Salah, Abdelhamid (2); García-Granda, Santiago (3) ","(1) Unité de recherché Electrochimie, Matériaux et Environnement UREME (UR17ES45), Faculté des Sciences de Gabès, Université de Gabès, Cité Erriadh, Gabès; 6072, Tunisia (2) Material and Environment Science Laboratory, Science Faculty of Sfax University, P.B 1171, Sfax; 3000, Tunisia (3) Department of Physical and Analytical Chemistry, Oviedo University-CINN, Oviedo; 33006, Spain ","Lassoued, Mohamed Saber(lassoued_saber@yahoo.com) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","390-399","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.104","","JMOSB4","Journal article (JA)","The present paper reports the synthesis of a single crystal of a new organic–inorganic hybrid compound, with the formula (C6H14N2) CdCl4·H2O, by slow evaporation method at room temperature. It was characterized by single crystal X-ray diffraction (SCXRD), powder X-ray diffraction (PXRD), Hirshfeld surface, spectroscopy measurement, thermal study and photoluminescence (PL) properties. A preliminary SCXRD structural analysis revealed that it crystallized in the monoclinic system (space group P21/c) with the following unit cell parameters: a = 12.95823(16) Å, b = 14.92449(16) Å, c = 7.13838(9) Å and β = 103.2108(12)° with Z = 4. The refinement converged to R = 0.0164 and ωR = 0.0393. Its atomic arrangement can be described as an alternation of organic and inorganic layers along the a-axis. The crystal packing was governed by the N–HCl and O–HCl hydrogen bonding interaction between the 1.2-diammoniumcyclohexane cations, the [CdCl42n−]nanions and water molecule. The Hirshfeld surface analysis was conducted to investigate intermolecular interactions and associated 2D fingerprint plots, revealing the relative contribution of these interactions in the crystal structure quantitatively. Furthermore, the room temperature infrared (IR) spectrum of the title compound was recorded and analyzed on the basis of data found in the literature. Besides, the thermal analysis studies were performed, but no phase transition was found in the temperature range between 30 and 450 °C. The optical and PL properties of the compound were investigated in the solid state at room temperature and exhibited three bands at 225, 268 and 315 nm and a strong fluorescence at 443 nm. © 2017 Elsevier B.V.","58","Single crystals","Crystal structure - Hydrogen bonds - Infrared spectroscopy - Molecules - Photoluminescence - Spectrum analysis - Surface analysis - Thermoanalysis - X ray diffraction","Hydrogen bonding interactions - Intermolecular interactions - Optical and photoluminescence study - Photoluminescence properties - Powder X-ray diffraction (pXRD) - Single crystal x-ray diffraction - Structural characterization - Thermal study","741.1 Light/OpticsLight/Optics - 801 ChemistryChemistry - 801.4 Physical ChemistryPhysical Chemistry - 931.3 Atomic and Molecular PhysicsAtomic and Molecular Physics - 933.1 Crystalline SolidsCrystalline Solids - 933.1.1 Crystal LatticeCrystal Lattice - 951 Materials ScienceMaterials Science","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Synthesis, characterization, cytotoxicity, cell cycle analysis of 3-(4-methoxyphenyl)-1-(pyridin-2-ylmethyl)thiourea and quantum chemical analyses","20171403514999","Mushtaque, Md. (1); Avecilla, Fernando (2); Khan, Md. Shahzad (3); Hafeez, Zubair Bin (4); Rezvi, M. Moshahid A. (4); Srivastava, Anurag (3) ","(1) School of Physical and Molecular Sciences (Chemistry), Al-Falah University, Dhauj, Faridabad; Haryana; 121004, India (2) Departamento de Química Fundamental, Universidade da Coruña, Campus da Zapateira s/n, ACoruña; 15008, Spain (3) Advanced Material Research Group, CNT Lab, ABV-Indian Institute of Information Technology and Management, Gwalior; 474015, India (4) Department of Bioscience, Jamia Millia Islamia, New Delhi; 110025, India ","Mushtaque, Md.(mush.chem@gmail.com) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","119-132","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.066","","JMOSB4","Journal article (JA)","Thiourea derivative,3-(4-methoxyphenyl)-1-(pyridin-2-ylmethyl)thiourea, was synthesized. The structure of the synthesized compound (3) was elucidated by IR, UV–visible,1H NMR, mass Spectrometry, and X-ray single crystal structure. The computational quantum chemical studies like, IR, UV, NBO analysis were performed by DFT with Becke-3-Lee-Yang- Parr (B3LYP) exchange-correlation functional in combination with 6–311++G(d,p) basis sets. It was observed experimentally and theoretically that compound (3) exhibited syn-anti-conformation around sulphur atom. The DNA-binding constant Kbwas found 3.3 × 106Lmol−1. The docking energy of compound (3) with 1BNA was found −6.2 kcal/mol. MTT-assay against HepG2 (IC50 = 140.39) and Siha (IC50 = 119.87 μM) cell lines revealed that compound (3) wasnon-toxic up to140.39 μM against HepG2 and 119.87 μM against Siha cells respectively. It was also found that compound (3) is non-toxic against normal human cell line HEK-293(IC50 = 148.67 μM). Cell cycle analyses displayed that treated HepG2 cells at 40 μM and 80 μM showed 65% and 70% arrest in G0/G1with respect to untreated controls (60%) and Siha cells at the same concentration displayed 59% and 65% arrest with respect to G0/G1 as compared to untreated control (45%). © 2017 Elsevier B.V.","74","Chemical analysis","Binding energy - Bins - Cell culture - Cells - Complexation - Crystal structure - Cytology - Cytotoxicity - Integrated circuits - Mass spectrometry - Quantum chemistry - Single crystals - Thioureas","Anti-conformations - Cell cycle analysis - DNA binding constant - Exchange-correlation functionals - Molecular docking - Quantum chemical studies - Thiourea derivatives - X-ray single crystal structures","461.2 Biological Materials and Tissue EngineeringBiological Materials and Tissue Engineering - 461.9 BiologyBiology - 694.4 StorageStorage - 714.2 Semiconductor Devices and Integrated CircuitsSemiconductor Devices and Integrated Circuits - 801 ChemistryChemistry - 801.4 Physical ChemistryPhysical Chemistry - 802.2 Chemical ReactionsChemical Reactions - 804.1 Organic CompoundsOrganic Compounds - 933.1 Crystalline SolidsCrystalline Solids - 933.1.1 Crystal LatticeCrystal Lattice","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Structural study of polymorphism in methylprednisolone aceponate","20171403522681","Knyazev, A.V. (1); Somov, N.V. (1); Shipilova, A.S. (1); Gusarova, E.V. (1); Knyazeva, S.S. (1); Stepanova, O.V. (1); Chuprunov, E.V. (1) ","(1) Lobachevsky University, Gagarin Prospekt 23/2, Nizhni Novgorod; 603950, Russia ","Knyazev, A.V.(knyazevav@gmail.com) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","164-169","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.099","","JMOSB4","Journal article (JA)","The crystal structures of methylprednisolone aceponate were determined by X-ray diffraction analysis at temperatures 90 K and 150 K: space group P212121, a = 14.8592(2), b = 19.6844(5), c = 26.1626(4) Å, Z = 12; R = 0.0598 (T = 90 K); space group P212121, a = 6.57348(14), b = 14.8295(3), c = 26.2214(5) Å, Z = 4; R = 0.0518 (T = 150 K). Features of structural changes in the phase transition were revealed. The abrupt change in the unit cell parameters in the phase transition was shown by low-temperature X-ray powder. The methods of degree of invariance of crystal electron density and molecular Voronoi−Dirichlet polyhedra were used for the analysis of polymorphism in methylprednisolone aceponate. The atomic structure at 90 K have a translational pseudosymmetry of electron density η = 0.329(1). The decrease of number of intermolecular contacts in the high-temperature modification due to rupture of intermolecular non-valence contacts C/O was observed. © 2017 Elsevier B.V.","16","Crystal atomic structure","Carrier concentration - Crystal structure - Electron density measurement - Polymorphism - Steroid hormones - Temperature - X ray diffraction analysis","Dirichlet polyhedra - High temperature modification - Intermolecular contacts - Low temperatures - Methylprednisolone aceponate - Structural studies - Unit cell parameters - X-ray powder","641.1 ThermodynamicsThermodynamics - 701.1 Electricity: Basic Concepts and PhenomenaElectricity: Basic Concepts and Phenomena - 801.2 BiochemistryBiochemistry - 933.1.1 Crystal LatticeCrystal Lattice - 951 Materials ScienceMaterials Science","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Synthesis, spectroscopic and single crystal X-ray studies on three new mononuclear Ni(II) pincer type complexes: DFT calculations and their antimicrobial activities","20171503552701","Layek, Samaresh (1); Agrahari, Bhumika (1); Tarafdar, Abhrajyoti (2); Kumari, Chanda (1); Anuradha (1); Ganguly, Rakesh (3); Pathak, Devendra D. (1) ","(1) Department of Applied Chemistry, Indian Institute of Technology (Indian School of Mines), Dhanbad; 826004, India (2) Department of Environmental Science, Indian Institute of Technology (Indian School of Mines), Dhanbad; 826004, India (3) Division of Chemistry & Biological Chemistry, Nanyang Technological University, Singapore; 639798, Singapore ","Pathak, Devendra D.(ddpathak@yahoo.com) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","428-435","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.114","","JMOSB4","Journal article (JA)","Three new mononuclear square planar Ni(II) complexes, containing pincer type tridentate Schiff base ligands, having general formula [(NiL1(4-MePy)] (1), [(NiL1(2-AzNp)] (2), and [(NiL2(4-MePy)] (3) [where L1 = anion of N-(2-hydroxy-3-methoxybenzylidene) benzoylhydrazide (HL1), L2 = anion of N-(2-hydroxy-3-methoxybenzylidene) thiosemicarbazide (HL2), 4-MePy = 4-Methylpyridine and 2-AzNp = 2-Azanapthalene] have been synthesized and fully characterized by FT-IR, UV–visible, NMR, single crystal X-ray diffraction studies and elemental analysis. All the three complexes show square planar geometry around the nickel atom. The pincer type ligand occupies three coordination sites, while the fourth site is occupied by the monodentate nitrogen containing ligand. The Quantum chemical DFT calculations have also been carried out using DFT/B3LYP method and 6-311++G(d,p) basis set. The synthesized nickel complexes were screened for antimicrobial activities by agar well diffusion method against E. coli bacteria. Out of three complexes, [(NiL2(4-MePy)] (3) only showed the antimicrobial activity against E. coli bacteria. © 2017 Elsevier B.V.","54","Synthesis (chemical)","Bacteria - Crystal structure - Density functional theory - Geometry - Ligands - Microorganisms - Nickel - Quantum chemistry - Single crystals - X ray diffraction","Anti-bacterial activity - Anti-microbial activity - Coordination sites - DFT calculation - Schiff-base - Single-crystal X-ray diffraction studies - Square planar geometry - Tridentate Schiff-base","461.9 BiologyBiology - 548.1 NickelNickel - 801.4 Physical ChemistryPhysical Chemistry - 802.2 Chemical ReactionsChemical Reactions - 921 MathematicsMathematics - 922.1 Probability TheoryProbability Theory - 933.1 Crystalline SolidsCrystalline Solids - 933.1.1 Crystal LatticeCrystal Lattice","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"A new chitosan Schiff base supported Pd(II) complex for microwave-assisted synthesis of biaryls compounds","20171503565896","Baran, Talat (1) ","(1) Department of Chemistry, Faculty of Science and Letters, Aksaray University, Aksaray; Aksaray; 68100, Turkey ","","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","535-541","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.122","","JMOSB4","Journal article (JA)","In this study, a new heterogeneous palladium (II) catalyst that contains O-carboxymethyl chitosan Schiff base has been designed for Suzuki coupling reactions. The chemical structures of the synthesized catalyst were characterized with the FTIR, TG/DTG, ICP-OES, SEM/EDAX,1H NMR,13C NMR, GC/MS, XRD, and magnetic moment techniques. The reusability and catalytic behavior of heterogeneous catalyst was tested towards Suzuki reactions. As a result of the tests, excellent selectivity was obtained, and by-products of homo coupling were not seen in the spectra. The biaryls products were identified on a GC/MS. In addition, it was determined in the reusability tests that the catalysts could be used several times (seven runs). More importantly, with very low catalyst loading (6 × 10−3 mol %) in very short reaction time (5 min), chitosan Schiff base supported Pd(II) complex gave high TON and TOF values. These findings showed that Schiff base supported Pd(II) catalyst is suitable for Suzuki cross coupling reactions. © 2017 Elsevier B.V.","34","Palladium compounds","Catalysts - Chemical bonds - Chemical reactions - Chitin - Chitosan - Fourier transform infrared spectroscopy - Magnetic moments - Nuclear magnetic resonance - Palladium - Reusability - Synthesis (chemical)","Biaryls - Heterogeneous catalyst - Microwave assisted synthesis - O-carboxymethyl chitosans - Schiff-base - Short reaction time - Suzuki coupling reaction - Suzuki cross coupling reactions","547.1 Precious MetalsPrecious Metals - 701.2 Magnetism: Basic Concepts and PhenomenaMagnetism: Basic Concepts and Phenomena - 801 ChemistryChemistry - 801.4 Physical ChemistryPhysical Chemistry - 802.2 Chemical ReactionsChemical Reactions - 803 Chemical Agents and Basic Industrial ChemicalsChemical Agents and Basic Industrial Chemicals - 804 Chemical Products GenerallyChemical Products Generally - 804.1 Organic CompoundsOrganic Compounds","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Asymmetric 1,3,4-thiadiazole derivatives: Synthesis, characterization and studying their liquid crystalline properties","20171403522024","Tomi, Ivan Hameed R. (1); Al-Heetimi, Dhafir T.A. (2); Jaffer, Hamed J. (1) ","(1) University of Al-Mustansiriyah, College of Science, Department of Chemistry, Baghdad, Iraq (2) University of Baghdad, College of Education for Pure Sciences, Ibn Al-Haitham, Department of Chemistry, Baghdad, Iraq ","Tomi, Ivan Hameed R.(ivanhrtomy@yahoo.com) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","176-185","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.105","","JMOSB4","Journal article (JA)","Non-symmetrically series of eleven compounds derived from 2,5-disubstituted central 1,3,4-thiadiazole derivatives, n-alkyl-4-(5-(4-methoxyphenyl)-1,3,4-thiadiazol-2-yl)benzoate, n = 1–10, 12 (B1-B11) were synthesized. These homologues were characterized by FTIR,1HNMR,13CNMR and most of them by mass spectrometry. The mesophase textures and thermal behaviors were investigated by polarizing optical microscopy (POM) and differential scanning calorimetry (DSC), respectively. Thermodynamic parameters, ΔH and ΔS, of the transitions were calculated from (DSC) thermograms. The derivatives with short ester arm (B1-B7) displayed enantiotropic liquid crystal behaviors with SmA and N phases on heating and cooling cycles, whilst the last four analogues with the longest ester arm (B8-B11) exhibiting enantiotropic SmA phase on heating and SmA, SmE phases on cooling. The effects of the heterocyclic core and the number of carbon atoms in ester chain on the mesomorphic behaviors of these compounds were discussed. Also, these results were compared to other compounds that have similar confirmations. © 2017 Elsevier B.V.","31","Liquids","Carbon - Differential scanning calorimetry - Esters - Liquid crystals - Mass spectrometry","1 ,3 ,4-thiadiazole - Heating and cooling cycles - Liquid crystalline properties - Mesomorphic behavior - Mesomorphic property - Number of carbon atoms - Polarizing optical microscopy - Thermodynamic parameter","801 ChemistryChemistry - 804 Chemical Products GenerallyChemical Products Generally - 804.1 Organic CompoundsOrganic Compounds - 944.6 Temperature MeasurementsTemperature Measurements","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Inclusion complex of nateglinide with sulfobutyl ether β-cyclodextrin: Preparation, characterization and water solubility","20171403538030","Xu, Jingna (1, 2); Zhang, Yimin (1, 2); Li, Xiayang (1, 2); Zheng, Yan (1, 2) ","(1) Key Laboratory for Green Chemical Technology of State Education Ministry, School of Chemical Engineering and Technology, Tianjin University, Tianjin; 300350, China (2) Collaborative Innovation Center of Chemical Science and Engineering (Tianjin), Tianjin; 300350, China ","Zhang, Yimin(zhangym@tju.edu.cn) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","328-334","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.116","","JMOSB4","Journal article (JA)","Due to the poor solubility of nateglinide (NTG), its application was seriously limited. In this paper, a novel inclusion complex of nateglinide with sulfobutyl ether β-cyclodextrin (SBE7-β-CD) was synthesized by freeze-drying method, aiming to improve its properties. The phase solubility study was performed to obtain the stoichiometry and stability constant. Then, the solid inclusion complex was characterized by means of FT-IR, DSC, PXRD, SEM,1H and 2D NMR. The results showed that nateglinide embedded into the cavity of SBE-β-CD from the secondary face partly, forming an inclusion complex with a 1:1 stoichiometry. The stability constants at different temperatures (27, 37, and 50 °C) were 2940 M−1, 2607 M−1, 2156 M−1, separately. Moreover, the NTG-SBE-β-CD inclusion complex displayed higher aqueous solubility compared with free NTG, suggesting its potential application in medicine. © 2017 Elsevier B.V.","32","Solubility","Cyclodextrins - Ethers - Nuclear magnetic resonance spectroscopy - Stoichiometry","Aqueous solubility - Freeze drying method - Inclusion complex - Nateglinide - Phase-solubility studies - Solid inclusion complexes - Stability constants - Water solubilities","801.4 Physical ChemistryPhysical Chemistry - 804.1 Organic CompoundsOrganic Compounds","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Synthesis, investigation of the new derivatives of dihydropyrimidines and determination of their biological activity","20171303502832","Maharramov, A.M. (1); Ramazanov, M.A. (1); Guliyeva, G.A. (2); Huseynzada, A.E. (1); Hasanova, U.A. (1); Shikhaliyev, N.G. (1); Eyvazova, G.M. (1); Hajiyeva, S.F. (1); Mamedov, I.G. (1); Aghayev, M.M. (1) ","(1) Baku State University, Z. Khalilov 23, Baku; AZ-1148, Azerbaijan (2) Azerbaijan Republican Sanitary and Quarantine Inspection, Zargarpalan 121, Baku; AZ-1009, Azerbaijan ","Huseynzada, A.E.(alekber-92@mail.ru) ","Journal of Molecular Structure","J. Mol. Struct.","Elsevier B.V.","1141","","39-43","August 5, 2017","2017","English","00222860","","10.1016/j.molstruc.2017.03.084","","JMOSB4","Journal article (JA)","We reported of synthesis and investigation of the new biologically active derivatives of dihydropyrimidines 2 and 3. The investigation of structures of compounds by various experiments of NMR spectroscopy revealed the splitting of the signals to doublets and multiplets that confirms the presence of diastereomers in solution of compound 2 and the presence of diastereomers and tautomers in solution of compound 3. The individual diastereomer of compound 3 has been isolated. Biological activity of the synthesized compounds was studied on various species of genus Aspergillus fungi. © 2017 Elsevier B.V.","42","Bioactivity","Aspergillus - Fungi - Infrared spectroscopy - Isomers - Nuclear magnetic resonance spectroscopy","Aspergillus fungi - Diastereomers - Dihydropyrimidine - Tautomer","461.6 Medicine and PharmacologyMedicine and Pharmacology - 461.9 BiologyBiology - 804 Chemical Products GenerallyChemical Products Generally","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
